Original RegulatedEntityId,RegulatedEntityId,OriginalRegulatedEntityName,RegulatedEntityName,RegisterName,RegulatedDoneeType,RegulatedEntityType
6304,6304,Alec Shelbrooke,Alec Shelbrooke,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
6423,6423,Andrew Bingham Mp,Andrew Bingham Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1425,1425,Mr Boris Johnson Mp,Mr Boris Johnson Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
2061,2061,Mr John Lamont Msp,Mr John Lamont Msp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
6417,6417,Mr Sean Anstee,Mr Sean Anstee,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1921,1921,Ms Nicola Blackwood Mp,Ms Nicola Blackwood Mp,Great Britain,Cllr. - Member of a Local Authority,Regulated Donee
1426,1426,Mr Daniel Kawczynski Mp,Mr Daniel Kawczynski Mp,Great Britain,Leadership Candidate,Regulated Donee
1239,1239,Mr Ian Taylor Mbe Mp,Mr Ian Taylor Mbe Mp,Great Britain,Leadership Candidate,Regulated Donee
6553,6553,Mr Imran Hussain Mp,Mr Imran Hussain Mp,Great Britain,Leadership Candidate,Regulated Donee
1453,1453,Mr Ivan Lewis Mp,Mr Ivan Lewis Mp,Great Britain,Leadership Candidate,Regulated Donee
1377,1377,Mr Jonathan Cruddas Mp,Mr Jonathan Cruddas Mp,Great Britain,Leadership Candidate,Regulated Donee
1157,1157,Mr Julian Brazier Mp,Mr Julian Brazier Mp,Great Britain,Leadership Candidate,Regulated Donee
6633,6633,Mr Lloyd Russell-Moyle,Mr Lloyd Russell-Moyle,Great Britain,Leadership Candidate,Regulated Donee
7933,7933,Mr Mark Drakeford,Mr Mark Drakeford,Great Britain,Leadership Candidate,Regulated Donee
1319,1319,Mr Mark Field Mp,Mr Mark Field Mp,Great Britain,Leadership Candidate,Regulated Donee
1450,1450,Mr Mark Harper Mp,Mr Mark Harper Mp,Great Britain,Leadership Candidate,Regulated Donee
1419,1419,Mr Mark Hendrick Mp,Mr Mark Hendrick Mp,Great Britain,Leadership Candidate,Regulated Donee
1583,1583,Ms Emma Reynolds Mp,Ms Emma Reynolds Mp,Great Britain,Leadership Candidate,Regulated Donee
1622,1622,The Rt Hon Edward Miliband Mp,The Rt Hon Edward Miliband Mp,Great Britain,Leadership Candidate,Regulated Donee
1387,1387,The Rt Hon Frank Dobson Mp,The Rt Hon Frank Dobson Mp,Great Britain,Leadership Candidate,Regulated Donee
1389,1389,The Rt Hon Gordon Brown Mp,The Rt Hon Gordon Brown Mp,Great Britain,Leadership Candidate,Regulated Donee
1593,1593,The Rt Hon Grant Shapps Mp,The Rt Hon Grant Shapps Mp,Great Britain,Leadership Candidate,Regulated Donee
1340,1340,The Rt Hon Greg Clark Mp,The Rt Hon Greg Clark Mp,Great Britain,Leadership Candidate,Regulated Donee
1571,1571,The Rt Hon Greg Hands Mp,The Rt Hon Greg Hands Mp,Great Britain,Leadership Candidate,Regulated Donee
1386,1386,The Rt Hon Harriet Harman Qc Mp,The Rt Hon Harriet Harman Qc Mp,Great Britain,Leadership Candidate,Regulated Donee
1381,1381,The Rt Hon Hazel Blears Mp,The Rt Hon Hazel Blears Mp,Great Britain,Leadership Candidate,Regulated Donee
1538,1538,The Rt Hon Hilary Armstrong,The Rt Hon Hilary Armstrong,Great Britain,Leadership Candidate,Regulated Donee
1178,1178,The Rt Hon Hugh Robertson Mp,The Rt Hon Hugh Robertson Mp,Great Britain,Leadership Candidate,Regulated Donee
1401,1401,The Rt Hon Hugo Swire Mp,The Rt Hon Hugo Swire Mp,Great Britain,Leadership Candidate,Regulated Donee
1823,1823,The Rt Hon Iain Duncan Smith Mp,The Rt Hon Iain Duncan Smith Mp,Great Britain,Leadership Candidate,Regulated Donee
1556,1556,The Rt Hon Ian Mccartney Mp,The Rt Hon Ian Mccartney Mp,Great Britain,Leadership Candidate,Regulated Donee
1539,1539,The Rt Hon Jack Straw Mp,The Rt Hon Jack Straw Mp,Great Britain,Leadership Candidate,Regulated Donee
1332,1332,The Rt Hon Jeremy Hunt Mp,The Rt Hon Jeremy Hunt Mp,Great Britain,Leadership Candidate,Regulated Donee
1802,1802,The Rt Hon Jim Murphy Mp,The Rt Hon Jim Murphy Mp,Great Britain,Leadership Candidate,Regulated Donee
1350,1350,The Rt Hon John Bercow Mp,The Rt Hon John Bercow Mp,Great Britain,Leadership Candidate,Regulated Donee
1175,1175,The Rt Hon John Gummer Mp,The Rt Hon John Gummer Mp,Great Britain,Leadership Candidate,Regulated Donee
1796,1796,The Rt Hon John Healey Mp,The Rt Hon John Healey Mp,Great Britain,Leadership Candidate,Regulated Donee
1542,1542,The Rt Hon John Prescott Mp,The Rt Hon John Prescott Mp,Great Britain,Leadership Candidate,Regulated Donee
1271,1271,The Rt Hon Kenneth Clarke Qc Mp,The Rt Hon Kenneth Clarke Qc Mp,Great Britain,Leadership Candidate,Regulated Donee
1358,1358,The Rt Hon Nick Clegg Mp,The Rt Hon Nick Clegg Mp,Great Britain,Leadership Candidate,Regulated Donee
1335,1335,The Rt Hon Nick Herbert Mp,The Rt Hon Nick Herbert Mp,Great Britain,Leadership Candidate,Regulated Donee
1396,1396,The Rt Hon Owen Paterson Mp,The Rt Hon Owen Paterson Mp,Great Britain,Leadership Candidate,Regulated Donee
1797,1797,The Rt Hon Sajid Javid Mp,The Rt Hon Sajid Javid Mp,Great Britain,Leadership Candidate,Regulated Donee
2585,2585,Angela Eagle Mp,Angela Eagle Mp,Great Britain,Member of Registered Political Party,Regulated Donee
6537,6537,Abisola Ifasawo,Abisola Ifasawo,Great Britain,Members Association,Regulated Donee
6397,6397,Alan Brown,Alan Brown,Great Britain,Members Association,Regulated Donee
2859,2859,Alan Mak Mp,Alan Mak Mp,Great Britain,Members Association,Regulated Donee
9112,9112,Alun Davies,Alun Davies,Great Britain,Members Association,Regulated Donee
6695,6695,Anna Mcmorrin,Anna Mcmorrin,Great Britain,Members Association,Regulated Donee
5271,5271,Annie Wells Msp,Annie Wells Msp,Great Britain,Members Association,Regulated Donee
1864,1864,Dr Caroline Lucas Mp,Dr Caroline Lucas Mp,Great Britain,Members Association,Regulated Donee
3964,3964,Jess Phillips Mp,Jess Phillips Mp,Great Britain,Members Association,Regulated Donee
1651,1651,Mr Adam Holloway Mp,Mr Adam Holloway Mp,Great Britain,Members Association,Regulated Donee
1334,1334,Mr Andrew Mitchell Mp,Mr Andrew Mitchell Mp,Great Britain,Members Association,Regulated Donee
1283,1283,Mr Andrew Rosindell Mp,Mr Andrew Rosindell Mp,Great Britain,Members Association,Regulated Donee
1065,1065,Mr Bill Newton Dunn Mep,Mr Bill Newton Dunn Mep,Great Britain,Members Association,Regulated Donee
1402,1402,Mr Boris Johnson Mp,Mr Boris Johnson Mp,Great Britain,Members Association,Regulated Donee
2094,2094,Mr Brandon Lewis Mp,Mr Brandon Lewis Mp,Great Britain,Members Association,Regulated Donee
1376,1376,Mr Brian Donohoe Mp,Mr Brian Donohoe Mp,Great Britain,Members Association,Regulated Donee
1061,1061,Mr Crispin Jeremy Rupert Blunt Mp,Mr Crispin Jeremy Rupert Blunt Mp,Great Britain,Members Association,Regulated Donee
1426,1426,Mr Daniel Kawczynski Mp,Mr Daniel Kawczynski Mp,Great Britain,Members Association,Regulated Donee
2225,2225,Mr David Warburton,Mr David Warburton,Great Britain,Members Association,Regulated Donee
1644,1644,Mr Dominic Raab Mp,Mr Dominic Raab Mp,Great Britain,Members Association,Regulated Donee
1552,1552,Mr Edward Timpson Mp,Mr Edward Timpson Mp,Great Britain,Members Association,Regulated Donee
1069,1069,Mr Fraser Kemp Mp,Mr Fraser Kemp Mp,Great Britain,Members Association,Regulated Donee
1088,1088,Mr George Iain Duncan-Smith,Mr George Iain Duncan-Smith,Great Britain,Members Association,Regulated Donee
1936,1936,Mr George Mudie Mp,Mr George Mudie Mp,Great Britain,Members Association,Regulated Donee
1223,1223,Mr Mark Fisher Mp,Mr Mark Fisher Mp,Great Britain,Members Association,Regulated Donee
1114,1114,Mr Michael Clapham Mp,Mr Michael Clapham Mp,Great Britain,Members Association,Regulated Donee
1176,1176,Mr Michael Weir Mp,Mr Michael Weir Mp,Great Britain,Members Association,Regulated Donee
7941,7941,Mr Neil Coyle,Mr Neil Coyle,Great Britain,Members Association,Regulated Donee
1901,1901,Mr Philip Hollobone Mp,Mr Philip Hollobone Mp,Great Britain,Members Association,Regulated Donee
1083,1083,Mr Roger Godsiff Mp,Mr Roger Godsiff Mp,Great Britain,Members Association,Regulated Donee
2174,2174,Mr Ronnie Campbell Mp,Mr Ronnie Campbell Mp,Great Britain,Members Association,Regulated Donee
1639,1639,Mr Rory Stewart Mp,Mr Rory Stewart Mp,Great Britain,Members Association,Regulated Donee
1534,1534,Mr Stephen Barclay Mp,Mr Stephen Barclay Mp,Great Britain,Members Association,Regulated Donee
1227,1227,Mr Tim Yeo Mp,Mr Tim Yeo Mp,Great Britain,Members Association,Regulated Donee
1314,1314,Ms Karen Buck Mp,Ms Karen Buck Mp,Great Britain,Members Association,Regulated Donee
1513,1513,Ms Mary Macleod Mp,Ms Mary Macleod Mp,Great Britain,Members Association,Regulated Donee
1625,1625,Nigel Adams Mp,Nigel Adams Mp,Great Britain,Members Association,Regulated Donee
5283,5283,Owen Smith Mp,Owen Smith Mp,Great Britain,Members Association,Regulated Donee
1469,1469,The Rt Hon Andy Burnham Mp,The Rt Hon Andy Burnham Mp,Great Britain,Members Association,Regulated Donee
1635,1635,The Rt Hon Andy Burnham Mp,The Rt Hon Andy Burnham Mp,Great Britain,Members Association,Regulated Donee
1898,1898,The Rt Hon Ben Bradshaw Mp,The Rt Hon Ben Bradshaw Mp,Great Britain,Members Association,Regulated Donee
1926,1926,The Rt Hon Caroline Flint Mp,The Rt Hon Caroline Flint Mp,Great Britain,Members Association,Regulated Donee
1022,1022,The Rt Hon Charles Kennedy Mp,The Rt Hon Charles Kennedy Mp,Great Britain,Members Association,Regulated Donee
1349,1349,The Rt Hon Clare Short Mp,The Rt Hon Clare Short Mp,Great Britain,Members Association,Regulated Donee
1079,1079,The Rt Hon David Lammy Mp,The Rt Hon David Lammy Mp,Great Britain,Members Association,Regulated Donee
1624,1624,The Rt Hon David Miliband Mp,The Rt Hon David Miliband Mp,Great Britain,Members Association,Regulated Donee
1622,1622,The Rt Hon Edward Miliband Mp,The Rt Hon Edward Miliband Mp,Great Britain,Members Association,Regulated Donee
1381,1381,The Rt Hon Hazel Blears Mp,The Rt Hon Hazel Blears Mp,Great Britain,Members Association,Regulated Donee
1178,1178,The Rt Hon Hugh Robertson Mp,The Rt Hon Hugh Robertson Mp,Great Britain,Members Association,Regulated Donee
1542,1542,The Rt Hon John Prescott Mp,The Rt Hon John Prescott Mp,Great Britain,Members Association,Regulated Donee
1283,1283,Mr Andrew Rosindell Mp,Mr Andrew Rosindell Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1798,1798,Mr Angus Macneil Mp,Mr Angus Macneil Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1060,1060,Mr David Sumberg Mep,Mr David Sumberg Mep,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1342,1342,Mr Denis Murphy Mp,Mr Denis Murphy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
2360,2360,Mr John Woodcock Mp,Mr John Woodcock Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1377,1377,Mr Jonathan Cruddas Mp,Mr Jonathan Cruddas Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1428,1428,Mr Mark Adrian Clarke,Mr Mark Adrian Clarke,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1645,1645,Mr Nick Boles Mp,Mr Nick Boles Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1438,1438,Ms Harriett Baldwin Mp,Ms Harriett Baldwin Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1673,1673,Ms Rushanara Ali Mp,Ms Rushanara Ali Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1330,1330,Ms Sarah Teather Mp,Ms Sarah Teather Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1454,1454,Ms Siobhain Mcdonagh Mp,Ms Siobhain Mcdonagh Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
2861,2861,Suella Fernandes Mp,Suella Fernandes Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1022,1022,The Rt Hon Charles Kennedy Mp,The Rt Hon Charles Kennedy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1079,1079,The Rt Hon David Lammy Mp,The Rt Hon David Lammy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1590,1590,The Rt Hon David Miliband Mp,The Rt Hon David Miliband Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1174,1174,The Rt Hon Denis Macshane Mp,The Rt Hon Denis Macshane Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1115,1115,The Rt Hon George Osborne Mp,The Rt Hon George Osborne Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1389,1389,The Rt Hon Gordon Brown Mp,The Rt Hon Gordon Brown Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1571,1571,The Rt Hon Greg Hands Mp,The Rt Hon Greg Hands Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1549,1549,The Rt Hon Gregory Barker Mp,The Rt Hon Gregory Barker Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1386,1386,The Rt Hon Harriet Harman Qc Mp,The Rt Hon Harriet Harman Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1381,1381,The Rt Hon Hazel Blears Mp,The Rt Hon Hazel Blears Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1286,1286,The Rt Hon James Arbuthnot Mp,The Rt Hon James Arbuthnot Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1542,1542,The Rt Hon John Prescott Mp,The Rt Hon John Prescott Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1298,1298,The Rt Hon John Spellar Mp,The Rt Hon John Spellar Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1372,1372,The Rt Hon Keith Vaz Mp,The Rt Hon Keith Vaz Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1271,1271,The Rt Hon Kenneth Clarke Qc Mp,The Rt Hon Kenneth Clarke Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1270,1270,The Rt Hon Kenneth Clarke Qc Mp,The Rt Hon Kenneth Clarke Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
2321,2321,The Rt Hon Kevin Barron Mp,The Rt Hon Kevin Barron Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1541,1541,The Rt Hon Liam Byrne Mp,The Rt Hon Liam Byrne Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1578,1578,The Rt Hon Malcolm Wicks Mp,The Rt Hon Malcolm Wicks Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
2093,2093,The Rt Hon Margaret Hodge Mp,The Rt Hon Margaret Hodge Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1411,1411,The Rt Hon Mark Francois Mp,The Rt Hon Mark Francois Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1355,1355,The Rt Hon Mark Simmonds Mp,The Rt Hon Mark Simmonds Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1677,1677,The Rt Hon Matthew Hancock Mp,The Rt Hon Matthew Hancock Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1208,1208,The Rt Hon Michael Ancram Qc Mp,The Rt Hon Michael Ancram Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1177,1177,The Rt Hon Michael Ancram Qc Mp,The Rt Hon Michael Ancram Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1039,1039,The Rt Hon Michael Denzil Xavier Portillo Mp,The Rt Hon Michael Denzil Xavier Portillo Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1371,1371,The Rt Hon Michael Fallon Mp,The Rt Hon Michael Fallon Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1312,1312,The Rt Hon Michael Howard Mp,The Rt Hon Michael Howard Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1510,1510,The Rt Hon Mike Penning Mp,The Rt Hon Mike Penning Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1329,1329,The Rt Hon Nicholas Brown Mp,The Rt Hon Nicholas Brown Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1358,1358,The Rt Hon Nick Clegg Mp,The Rt Hon Nick Clegg Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1408,1408,The Rt Hon Nick Clegg Mp,The Rt Hon Nick Clegg Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1378,1378,The Rt Hon Peter Hain Mp,The Rt Hon Peter Hain Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1435,1435,The Rt Hon Simon Hughes Mp,The Rt Hon Simon Hughes Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
1846,1846,Tom Watson Mp,Tom Watson Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee
2859,2859,Alan Mak Mp,Alan Mak Mp,Great Britain,MP - Member of Parliament,Regulated Donee
6304,6304,Alec Shelbrooke,Alec Shelbrooke,Great Britain,MP - Member of Parliament,Regulated Donee
6645,6645,Alex Burghart,Alex Burghart,Great Britain,MP - Member of Parliament,Regulated Donee
1078,1078,Alex Salmond Mp,Alex Salmond Mp,Great Britain,MP - Member of Parliament,Regulated Donee
9150,9150,Alex Sobel,Alex Sobel,Great Britain,MP - Member of Parliament,Regulated Donee
6311,6311,Alexander Stewart Msp,Alexander Stewart Msp,Great Britain,MP - Member of Parliament,Regulated Donee
3910,3910,Alison Mcgovern Mp,Alison Mcgovern Mp,Great Britain,MP - Member of Parliament,Regulated Donee
4097,4097,Amanda Milling Mp,Amanda Milling Mp,Great Britain,MP - Member of Parliament,Regulated Donee
2860,2860,Andrea Jenkyns Mp,Andrea Jenkyns Mp,Great Britain,MP - Member of Parliament,Regulated Donee
7934,7934,Andrew Lewin,Andrew Lewin,Great Britain,MP - Member of Parliament,Regulated Donee
5284,5284,Andrew Turner Mp,Andrew Turner Mp,Great Britain,MP - Member of Parliament,Regulated Donee
6621,6621,Angela Burns,Angela Burns,Great Britain,MP - Member of Parliament,Regulated Donee
2585,2585,Angela Eagle Mp,Angela Eagle Mp,Great Britain,MP - Member of Parliament,Regulated Donee
4244,4244,Angela Smith Mp,Angela Smith Mp,Great Britain,MP - Member of Parliament,Regulated Donee
1503,1503,Ann Winterton Mp,Ann Winterton Mp,Great Britain,MP - Member of Parliament,Regulated Donee
6695,6695,Anna Mcmorrin,Anna Mcmorrin,Great Britain,MP - Member of Parliament,Regulated Donee
2887,2887,Anne Main Mp,Anne Main Mp,Great Britain,MP - Member of Parliament,Regulated Donee
6556,6556,Antoinette Sandbach,Antoinette Sandbach,Great Britain,MP - Member of Parliament,Regulated Donee
7917,7917,Ben Bradley,Ben Bradley,Great Britain,MP - Member of Parliament,Regulated Donee
6540,6540,Beth Prescott,Beth Prescott,Great Britain,MP - Member of Parliament,Regulated Donee
2862,2862,Byron Davies Mp,Byron Davies Mp,Great Britain,MP - Member of Parliament,Regulated Donee
4108,4108,Callum Mccaig Mp,Callum Mccaig Mp,Great Britain,MP - Member of Parliament,Regulated Donee
2592,2592,Carlton Club,Carlton Club,Great Britain,MP - Member of Parliament,Regulated Donee
6901,6901,Carlton Club Political Committee,Carlton Club Political Committee,Great Britain,MP - Member of Parliament,Regulated Donee
2866,2866,Caroline Ansell Mp,Caroline Ansell Mp,Great Britain,MP - Member of Parliament,Regulated Donee
2114,2114,Catherine West Mp,Catherine West Mp,Great Britain,MP - Member of Parliament,Regulated Donee
1683,1683,Charlotte Leslie Mp,Charlotte Leslie Mp,Great Britain,MP - Member of Parliament,Regulated Donee
5282,5282,Chris Law Mp,Chris Law Mp,Great Britain,MP - Member of Parliament,Regulated Donee
